13.047,14.741
13.409,13.763
14.196,15.853
14.915,16.174
13.577,14.043
13.922,13.406
12.822,14.223
15.676,15.892
16.163,16.203
12.666,14.899
13.985,12.958
14.061,14.549
13.39,15.562
13.394,15.627
13.979,13.281
14.168,14.466
13.962,14.752
14.459,15.07
14.585,15.827
12.074,13.067
13.549,15.538
13.986,14.788
14.97,16.518
14.256,15.294
15.334,16.125
15.635,16.491
13.621,15.459
14.815,15.34
14.593,14.612
14.489,15.641
15.527,14.636
13.975,14.765
12.954,14.823
12.888,15.076
16.022,16.257
14.926,16.297
12.466,14.183
14.085,14.442
14.537,14.242
14.223,15.424
